"La surface d'un carré initial est de [{D}*{D}] m². Quelle serait la longueur des côtés d'un second carré si cette longueur était de {E} m de moins que celle du carré initial ?","0:{D}-{E}","{A}:(1,10,1);{B}:(1,10,1);{C}:(1,10,1);{D}:(15,30,1);{E}:(2,14,1)","L’aire d’un carré est L x l. On dispose ici de son aire ( [{D}*{D}] m2 ). 
Il faut donc trouver la racine carré de [{D}*{D}] soit {D} puis retrancher {E} afin d’obtenir [{D}-{E}]","0;None:[{F}] m; [{F}+-{A}] m;[{F}+-{B}] m;[{F}+-{C}] m","{A}!={B}!={C}"
"La surface d'un carré initial est de [{D}*{D}] m². Quelle serait la longueur des côtés d'un second carré si cette longueur était de {E} m de plus que celle du carré initial ?","0:{D}+{E}","{A}:(1,10,1);{B}:(1,10,1);{C}:(1,10,1);{D}:(15,30,1);{E}:(2,14,1)","L’aire d’un carré est L x l. On dispose ici de son aire ( [{D}*{D}] m2 ). 
Il faut donc trouver la racine carré de [{D}*{D}] soit {D} puis ajouter {E} afin d’obtenir [{D}+{E}]","0;None:[{F}] m; [{F}+-{A}] m;[{F}+-{B}] m;[{F}+-{C}] m","{A}!={B}!={C}"
"Dans une usine de fabrication de voitures, l'usine A produit {E} voitures et l'usine B en produit {F} . Quel pourcentage représente la production de l'usine B par rapport à celle de l'usine A ?","1:({F}/{E})*100","{A}:(3.0,20.0,1.0);{B}:(3.0,20.0,1.0);{C}:(3.0,20.0,1.0);{D}:(3.0,20.0,1.0);{E}:(2,99,1);{F}:(2,99,1)","Pourcentage = (Production de l'usine B / Production de l'usine A) × 100
Pourcentage = ({F} / {E}) × 100
Pourcentage = [{F}*{E}] × 100
Pourcentage = {G}%

La production de l'usine B représente donc {G} % de celle de l'usine A.","1;None:[{G}] %; [{G}+-{A}] %;[{G}+-{B}] %;[{G}+-{C}] %;[{G}+-{D}] %","{A}!={B}!={C}"
"🚨 Christian a {E} ans de plus que Gilles. A eux deux, ils ont {F} ans.
Quel est l'âge de Gilles ?","1:{F}-{E};{G}/2","{A}:(3.0,20.0,1.0);{B}:(3.0,20.0,1.0);{C}:(3.0,20.0,1.0);{D}:(3.0,20.0,1.0);{E}:(20,99,1);{F}:(70,120,1)","Soit l'âge d'Eva = x  
L'âge de Michel = x + {E}  
Ensemble, ils cumulent {F} ans :  

x + (x + {E}) = {F}  
2x + {E} = {F}  
2x = {F} - {E}  
2x = {G}  
x = {G} / 2  
x = {H}  

L'âge d'Eva est donc {H} ans.","1;None:[{H}]; [{H}+-{A}];[{H}+-{B}];[{H}+-{C}];[{H}+-{D}]","{A}!={B}!={C}:{F}>{E}"
"{E} peintres peignent une surface de {F}m2 en {G} min. Combien de temps est nécessaire pour peindre {H}m2 avec {I} peintres ?","2:{F}/{E};{G}/{J};{K}/{I};{H}*{L}","{A}:(10,25,1);{B}:(10,25,1);{C}:(10,25,1);{D}:(10,25,1);{E}:(2,15,1);{F}:(4,10,1);{G}:(30,59,1);{H}:(11,30,1);{I}:(2,15,1)","1. Calcul de la capacité individuelle de peinture par minute :
   {E} peintres peignent {F} m² en {G} minutes donc 1 peintre peut peindre :
  {F} m² / {E} min = {J} m².
Donc, le temps nécessaire pour peindre 1 m² est donné par : {G} ÷ {J} m² = {K} min par peintre / m².

2. Calcul de la capacité de {I} peintres pour 1 m²:
   {I} peintres = {K} / {I} = {L} min/m².

3. Temps nécessaire pour peindre {H} m² avec {I} peintres :
   Temps = Surface / Capacité collective
   Temps = {H} m² x {L} min/m² = {M} minutes.","0;None:[{M}] min; [{M}+-{A}] min;[{M}+-{B}] min;[{M}+-{C}] min;[{M}+-{D}] min","{A}!={B}!={C}:{E}>{I}"
"Quelle est la distance réelle de Bordeaux à Paris, sachant qu'elle représente {A} cm sur une carte à l'échelle 1/{B} ?","0:({A}*{B})/100000","{A}:(3,50,1);{B}:(50000,5000000,50000)","{A} cm sur la carte correspond en réelle à {A} x {B} = [{A}*{B}] cm soit [{A}*{B}/100] m = [{A}*{B}/100000] km","2;None:[{C}] km;[{C}*/10] km;[{C}*/100] km;[{C}*/1000] km",""
"II y a {A} km de distance entre la ville A et la ville B. Quelle sera cette distance ( en cm ) sur une carte au 1/{B}e ?","4:({A}/{B})*100000","{A}:(3,50,1);{B}:(50000,5000000,50000)","{A} km en réelle correspond en réelle à {A} / {B} = [{A}/{B}] km soit [{A}/{B}*1000] m = [{A}/{B}*100000] cm","3;None:[{C}] cm;[{C}*/10] cm;[{C}*/100] cm;[{C}*/1000] cm",""
"Une voiture roule à {A} Km/heure. Quelle distance parcourt-elle en {B} heure et {C} minutes ?","1:{A}*({B}+{C}/60)","{A}:(30,240,10);{B}:(1,20,1);{C}:(0,54,6);{D}:(1,5,0.2);{E}:(5.2,10,0.2)","Distance parcouru = {A} km/h x [{B}+{C}/60] h = {F} km.","1;None:[{F}] km;[{F}+-{D}] km;[{F}+-{E}] km;[{F}+-({A}/10)] km","{D}!={E}"
"Pour former {D} recrues, un instructeur a besoin de {E} jours. Combien de jours lui faudra-t-il pour former {F} recrues, sachant qu'il est {G} % plus efficace avec des groupes plus importants ?","2:{F}*{E}/{D};{H}*((100-{G})/100)","{A}:(1,10,1);{B}:(1,10,1);{C}:(1,10,1);{D}:([10,15,20,25,30]);{E}:([5,10,15,20,25]);{F}:([40,50,60,70,80]);{G}:([10,20,30,40,50])","Étape 1 : Jours pour {F} recrues sans efficacité :
({F} recrues x {E} jours) ÷ {D}  recrues = {H} jours.

Étape 2 : Réduction due à l'efficacité :
{H} jours x [(100-{G})/100] = {I} jours","0;None:[{I}] jours;[{I}+-{A}] jours;[{I}+-{B}] jours;[{I}+-{B}] jours","{A}!={B}!={C}"
"🚨 Arnaud compte les lapins et les canards de son élevage personnel. Il dénombre au total [{D}+{E}] têtes et [{D}*2+{E}*4] pattes.
Combien a-t-il de lapins?","0:{E}","{A}:(1,10,1);{B}:(1,10,1);{C}:(1,10,1);{D}:(1,40,1);{E}:(1,40,1);{F}:(2,3,1)","Pour résoudre ce problème, nous pouvons utiliser un système d'équations pour représenter le nombre de canards (C) et de lapins (L) que le fermier possède, en tenant compte du nombre total de têtes et de pattes.
Nous savons que le fermier a [{D}+{E}] têtes au total, ce qui signifie que C + L = [{D}+{E}] (équation 1, représentant le nombre total de têtes).

Nous savons également que le fermier a [{D}*2+{E}*4] pattes au total, et chaque canard a 2 pattes et chaque lapin en a 4. Donc, 2C + 4L = [{D}*2+{E}*4] (équation 2, représentant le nombre total de pattes).

Maintenant, nous pouvons résoudre ce système d'équations. Tout d'abord, nous pouvons réorganiser l'équation 1 pour obtenir C = [{D}+{E}] - L.

Ensuite, nous pouvons substituer cette expression dans l'équation 2 :
2([{D}+{E}] - L) + 4L = [{D}*2+{E}*4]

Maintenant, distribuons le 2 dans la première partie de l'équation :
[2*({D}+{E})] - 2L + 4L = [{D}*2+{E}*4]

Maintenant, combinons les termes similaires :
[2*({D}+{E})] + 2L = [{D}*2+{E}*4]

Soustrayez [2*({D}+{E})] des deux côtés de l'équation :
2L = [{D}*2+{E}*4] - [2*({D}+{E})]
2L = [({D}*2+{E}*4) - (2*({D}+{E}))]

Divisez les deux côtés par 2 pour résoudre pour C :
L = [({D}*2+{E}*4) - (2*({D}+{E}))] / 2
L = {E}

Le fermier a donc {E} lapins.","0;None:[{E}];[{E}+-{A}];[{E}+-{B}];[{E}+-{C}]","{A}!={B}!={C}"
"🚨 Arnaud compte les lapins et les canards de son élevage personnel. Il dénombre au total [{D}+{E}] têtes et [{D}*2+{E}*4] pattes.
Combien a-t-il de canards ?","0:{D}","{A}:(1,10,1);{B}:(1,10,1);{C}:(1,10,1);{D}:(1,40,1);{E}:(1,40,1);{F}:(2,3,1)","Pour résoudre ce problème, nous pouvons utiliser un système d'équations pour représenter le nombre de canard (C) et de lapins (L) que le fermier possède, en tenant compte du nombre total de têtes et de pattes.
Nous savons que le fermier a [{D}+{E}] têtes au total, ce qui signifie que C + L = [{D}+{E}] (équation 1, représentant le nombre total de têtes).

Nous savons également que le fermier a [{D}*2+{E}*4] pattes au total, et chaque poule a 2 pattes et chaque cheval en a 4. Donc, 2C + 4L = [{D}*2+{E}*4] (équation 2, représentant le nombre total de pattes).

Maintenant, nous pouvons résoudre ce système d'équations. Tout d'abord, nous pouvons réorganiser l'équation 1 pour obtenir C = [{D}+{E}] - L.

Ensuite, nous pouvons substituer cette expression dans l'équation 2 :
2([{D}+{E}] - L) + 4L = [{D}*2+{E}*4]

Maintenant, distribuons le 2 dans la première partie de l'équation :
[2*({D}+{E})] - 2L + 4L = [{D}*2+{E}*4]

Maintenant, combinons les termes similaires :
[2*({D}+{E})] + 2L = [{D}*2+{E}*4]

Soustrayez [2*({D}+{E})] des deux côtés de l'équation :
2L = [{D}*2+{E}*4] - [2*({D}+{E})]
2L = [({D}*2+{E}*4) - (2*({D}+{E}))]

Divisez les deux côtés par 2 pour résoudre pour C :
L = [({D}*2+{E}*4) - (2*({D}+{E}))] / 2
C = {E}

Le fermier a donc {E} canards.","0;None:[{D}];[{D}+-{A}];[{D}+-{B}];[{D}+-{C}]","{A}!={B}!={C}"
"Un fermier a des poules et des chevaux. Il compte [{A}+{B}] têtes et [{A}*2+{B}*4] pattes. Combien a-t-il de chevaux?","0:{B}","{A}:(1,40,1);{B}:(1,40,1);{C}:(2,3,1)","Pour résoudre ce problème, nous pouvons utiliser un système d'équations pour représenter le nombre de poules (P) et de chevaux (C) que le fermier possède, en tenant compte du nombre total de têtes et de pattes.
Nous savons que le fermier a [{A}+{B}] têtes au total, ce qui signifie que P + C = [{A}+{B}] (équation 1, représentant le nombre total de têtes).

Nous savons également que le fermier a [{A}*2+{B}*4] pattes au total, et chaque poule a 2 pattes et chaque cheval en a 4. Donc, 2P + 4C = [{A}*2+{B}*4] (équation 2, représentant le nombre total de pattes).

Maintenant, nous pouvons résoudre ce système d'équations. Tout d'abord, nous pouvons réorganiser l'équation 1 pour obtenir P = [{A}+{B}] - C.

Ensuite, nous pouvons substituer cette expression dans l'équation 2 :
2([{A}+{B}] - C) + 4C = [{A}*2+{B}*4]

Maintenant, distribuons le 2 dans la première partie de l'équation :
[2*({A}+{B})] - 2C + 4C = [{A}*2+{B}*4]

Maintenant, combinons les termes similaires :
[2*({A}+{B})] + 2C = [{A}*2+{B}*4]

Soustrayez [2*({A}+{B})] des deux côtés de l'équation :
2C = [{A}*2+{B}*4] - [2*({A}+{B})]
2C = [({A}*2+{B}*4) - (2*({A}+{B}))]

Divisez les deux côtés par 2 pour résoudre pour C :
C = [({A}*2+{B}*4) - (2*({A}+{B}))] / 2
C = {B}

Le fermier a donc {B} chevaux.","0;None:[{D}];[{D}+-1];[{D}+-{C}];[{D}+-4]",""
"Un fermier a des poules et des chevaux. Il compte [{A}+{B}] têtes et [{A}*2+{B}*4] pattes. Combien a-t-il de poules?","0:{A}","{A}:(1,40,1);{B}:(1,40,1);{C}:(2,3,1)","Pour résoudre ce problème, nous pouvons utiliser un système d'équations pour représenter le nombre de poules (P) et de lapins (C) que le fermier possède, en tenant compte du nombre total de têtes et de pattes.
Nous savons que le fermier a [{A}+{B}] têtes au total, ce qui signifie que P + C = [{A}+{B}] (équation 1, représentant le nombre total de têtes).

Nous savons également que le fermier a [{A}*2+{B}*4] pattes au total, et chaque poule a 2 pattes et chaque cheval en a 4. Donc, 2P + 4C = [{A}*2+{B}*4] (équation 2, représentant le nombre total de pattes).

Maintenant, nous pouvons résoudre ce système d'équations. Tout d'abord, nous pouvons réorganiser l'équation 1 pour obtenir C = [{A}+{B}] - P.

Ensuite, nous pouvons substituer cette expression dans l'équation 2 :
2P + 4([{A}+{B}] - P) = [{A}*2+{B}*4]

Maintenant, distribuons le 2 dans la première partie de l'équation :
2P + [4*({A}+{B})] - 4P = [{A}*2+{B}*4]

Maintenant, combinons les termes similaires :
[4*({A}+{B})] - 2P = [{A}*2+{B}*4]

Soustrayez [2*({A}+{B})] des deux côtés de l'équation :
2P = [4*({A}+{B}) - [{A}*2+{B}*4]]
2P = [(4*({A}+{B})) - ({A}*2+{B}*4)]

Divisez les deux côtés par 2 pour résoudre pour C :
C = [({A}*2+{B}*4) - (2*({A}+{B}))] / 2
C = {A}

Le fermier a donc {A} poules.","0;None:[{D}]; [{D}+-1];[{D}+-{C}];[{D}+-4]",""
"Un transporteur a {A} bouts de bois dans son camion, il en dépose {B} chez A, puis {C} chez B, puis {D} chez C, et en récupère {E} chez D, combien lui en reste-t-il à la fin ?","0:{A}-{B}-{C}-{D}+{E}","{A}:(800,1000,1);{B}:(200,300,5);{C}:(100,300,3);{D}:(100,300,2);{E}:(200,500,1)","{A} - {B} - {C} - {D} + {E} = {F}","0;None:[{F}]; [{F}+-10];[{F}+-15];[{F}-{E}]",""
"Un marchand a du cafe de deux qualités.
Quand il prend {D} Kg de la première qualité et {E} Kg de la seconde, le mélange vaut [{D}*{F}+{E}*{G}] €.
Quand il prend {H} Kg de la première qualité et {I} Kg de la seconde, le mélange vaut [{H}*{F}+{I}*{G}] €.

Quel est le prix de la première qualité ?","1:{D}*{F}+{E}*{G};{H}*{F}+{I}*{G};{E}*{H};{I}*({D}*{F}+{E}*{G});{I}*{D};{M}-{O};({H}*{F}+{I}*{G})*{E};{Q}-{N}","{A}:(2,10,1);{B}:(2,10,1);{C}:(2,10,1);{D}:(2,10,2);{E}:(2,14,2);{F}:(10,30,2);{G}:(10,30,2);{H}:(2,12,2);{I}:(2,12,2);{J}:(2,3,1)","Note : La résolution est donnée ici de manière générique. À vous de l'adapter par la suite si vous souhaitez trouver X ou Y.
On part du système :
(1) {D}x + {E}y = {K}
(2) {H}x + {I}y  = {L}

**Étape 1 : Isoler y dans (1)**  
De (1) :  
{E}y = {K} − {D}x  
y = ({K} − {D}x) / {E}

**Étape 2 : Substituer y dans (2)**  
Remplaçons y dans (2) par l'expression trouvée :  
{H}x + {I} * ( ({K} − {D}x) / {E} ) = {L}

**Étape 3 : Éliminer le dénominateur**  
Multiplions l'équation par {E} pour se débarrasser du dénominateur :  
{E} * {H}x + {I} * ({K} − {D}x) = {L} * {E}  
{M}x + {I} * {K} − {I} * {D}x = {Q}

**Étape 4 : Simplifier l'équation**  
Calculons {I} * {K} et {I} * {D}x :  
{I} * {K} = {N}  
{I} * {D}x = {O}x  

Maintenant, l'équation devient :  
{M}x + {N} − {O}x = {Q}  
({M}x − {O}x) + {N} = {Q}  
{P}x + {N} = {Q}

**Étape 5 : Isoler x**  
Soustrayons {N} des deux côtés :  
{P}x = {Q} − {N}  
{P}x = [{Q}-{N}]
x = {R} / {P}  

x = {F}
y = {G}","0;None:[{F}]; [{F}+-{A}];[{F}+-{B}];[{F}+-{C}]","{A}!={B}!={C}:{D}!={E}:{H}!={I}"
"Un marchand a du cafe de deux qualités.
Quand il prend {D} Kg de la première qualité et {E} Kg de la seconde, le mélange vaut [{D}*{F}+{E}*{G}] €.
Quand il prend {H} Kg de la première qualité et {I} Kg de la seconde, le mélange vaut [{H}*{F}+{I}*{G}] €.

Quel est le prix de la deuxième qualité ?","1:{D}*{F}+{E}*{G};{H}*{F}+{I}*{G};{E}*{H};{I}*({D}*{F}+{E}*{G});{I}*{D};{M}-{O};({H}*{F}+{I}*{G})*{E};{Q}-{N}","{A}:(2,10,1);{B}:(2,10,1);{C}:(2,10,1);{D}:(1,10,2);{E}:(1,14,2);{F}:(10,30,2);{G}:(10,30,2);{H}:(1,12,2);{I}:(1,12,2);{J}:(2,3,1)","Note : La résolution est donnée ici de manière générique. À vous de l'adapter par la suite si vous souhaitez trouver X ou Y.
On part du système :
(1) {D}x + {E}y = {K}
(2) {H}x + {I}y  = {L}

**Étape 1 : Isoler y dans (1)**  
De (1) :  
{E}y = {K} − {D}x  
y = ({K} − {D}x) / {E}

**Étape 2 : Substituer y dans (2)**  
Remplaçons y dans (2) par l'expression trouvée :  
{H}x + {I} * ( ({K} − {D}x) / {E} ) = {L}

**Étape 3 : Éliminer le dénominateur**  
Multiplions l'équation par {E} pour se débarrasser du dénominateur :  
{E} * {H}x + {I} * ({K} − {D}x) = {L} * {E}  
{M}x + {I} * {K} − {I} * {D}x = {Q}

**Étape 4 : Simplifier l'équation**  
Calculons {I} * {K} et {I} * {D}x :  
{I} * {K} = {N}  
{I} * {D}x = {O}x  

Maintenant, l'équation devient :  
{M}x + {N} − {O}x = {Q}  
({M}x − {O}x) + {N} = {Q}  
{P}x + {N} = {Q}

**Étape 5 : Isoler x**  
Soustrayons {N} des deux côtés :  
{P}x = {Q} − {N}  
{P}x = [{Q}-{N}]
x = {R} / {P}  

x = {F}
y = {G}","0;None:[{G}]; [{G}+-{A}];[{G}+-{B}];[{G}+-{C}]","{A}!={B}!={C}:{D}!={E}:{H}!={I}"
